file,degradation,realHealth,degradedHealth,delta
Coraline.fountain.txt,DIALOGUE_FLATTEN,97.4,88.7,-8.7
the-iron-giant-1999.fountain,SCENE_SHUFFLE,94.3,92.6,-1.7
the-iron-giant-1999.fountain,MIDPOINT_DROP,94.3,88.4,-5.9
the-iron-giant-1999.fountain,CLIMAX_RELOCATE,94.3,95.1,0.8
the-iron-giant-1999.fountain,DIALOGUE_FLATTEN,94.3,89,-5.3
beavis-and-butt-head-do-america-matched.fountain,SCENE_SHUFFLE,89.3,81.3,-8
beavis-and-butt-head-do-america-matched.fountain,MIDPOINT_DROP,89.3,89.1,-0.2
beavis-and-butt-head-do-america-matched.fountain,CLIMAX_RELOCATE,89.3,89.3,0
beavis-and-butt-head-do-america-matched.fountain,DIALOGUE_FLATTEN,89.3,89.3,0
Wreck-It_Ralph.fountain.txt,SCENE_SHUFFLE,98.1,95.8,-2.3
Wreck-It_Ralph.fountain.txt,MIDPOINT_DROP,98.1,96.6,-1.5
Wreck-It_Ralph.fountain.txt,CLIMAX_RELOCATE,98.1,98,-0.1
Wreck-It_Ralph.fountain.txt,DIALOGUE_FLATTEN,98.1,88.2,-9.9
Frozen.fountain.txt,SCENE_SHUFFLE,88.9,86.9,-2
Frozen.fountain.txt,MIDPOINT_DROP,88.9,88.6,-0.3
Frozen.fountain.txt,CLIMAX_RELOCATE,88.9,88.9,0
Frozen.fountain.txt,DIALOGUE_FLATTEN,88.9,85.1,-3.8
Croods_The.fountain.txt,SCENE_SHUFFLE,95.3,95.3,0
Croods_The.fountain.txt,MIDPOINT_DROP,95.3,94.2,-1.1
Croods_The.fountain.txt,CLIMAX_RELOCATE,95.3,95.3,0
Croods_The.fountain.txt,DIALOGUE_FLATTEN,95.3,85.3,-10
Who Framed Roger Rabbit.fountain.txt,SCENE_SHUFFLE,98.6,98.7,0.1
Who Framed Roger Rabbit.fountain.txt,MIDPOINT_DROP,98.6,98.4,-0.2
Who Framed Roger Rabbit.fountain.txt,CLIMAX_RELOCATE,98.6,98.7,0.1
Who Framed Roger Rabbit.fountain.txt,DIALOGUE_FLATTEN,98.6,88.7,-9.9
raya-and-the-last-dragon-2021.fountain,SCENE_SHUFFLE,94.7,72.9,-21.8
raya-and-the-last-dragon-2021.fountain,MIDPOINT_DROP,94.7,93.6,-1.1
raya-and-the-last-dragon-2021.fountain,CLIMAX_RELOCATE,94.7,96.3,1.6
raya-and-the-last-dragon-2021.fountain,DIALOGUE_FLATTEN,94.7,89.2,-5.5
WALL-E.fountain.txt,SCENE_SHUFFLE,89.5,89.5,0
WALL-E.fountain.txt,MIDPOINT_DROP,89.5,85.8,-3.7
WALL-E.fountain.txt,CLIMAX_RELOCATE,89.5,89.5,0
WALL-E.fountain.txt,DIALOGUE_FLATTEN,89.5,80.6,-8.9
Up.fountain.txt,SCENE_SHUFFLE,86.6,85.9,-0.7
Up.fountain.txt,MIDPOINT_DROP,86.6,87.1,0.5
Up.fountain.txt,CLIMAX_RELOCATE,86.6,87.5,0.9
Up.fountain.txt,DIALOGUE_FLATTEN,86.6,84.2,-2.4
9-matched.fountain,SCENE_SHUFFLE,91.7,89.9,-1.8
9-matched.fountain,MIDPOINT_DROP,91.7,88.9,-2.8
9-matched.fountain,CLIMAX_RELOCATE,91.7,94.1,2.4
9-matched.fountain,DIALOGUE_FLATTEN,91.7,89.2,-2.5
toy-story-4-2019.fountain,SCENE_SHUFFLE,89.2,83.5,-5.7
toy-story-4-2019.fountain,MIDPOINT_DROP,89.2,88.8,-0.4
toy-story-4-2019.fountain,CLIMAX_RELOCATE,89.2,89,-0.2
toy-story-4-2019.fountain,DIALOGUE_FLATTEN,89.2,84.8,-4.4
transfer-window.fountain,SCENE_SHUFFLE,38.4,61.6,23.2
transfer-window.fountain,MIDPOINT_DROP,38.4,64.6,26.2
transfer-window.fountain,CLIMAX_RELOCATE,38.4,35.4,-3
transfer-window.fountain,DIALOGUE_FLATTEN,38.4,0,-38.4
runoff.fountain,SCENE_SHUFFLE,74.4,74.8,0.4
runoff.fountain,MIDPOINT_DROP,74.4,80,5.6
runoff.fountain,CLIMAX_RELOCATE,74.4,74.4,0
runoff.fountain,DIALOGUE_FLATTEN,74.4,69.6,-4.8
