config,ruleZero,signals,degradation,pairs,auc,ciLo,ciHi
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",POOLED,72,0.7569,0.7014,0.8125
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",SCENE_SHUFFLE,18,0.5556,0.5000,0.6389
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",MIDPOINT_DROP,18,0.9444,0.8333,1.0000
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",CLIMAX_RELOCATE,18,0.5000,0.5000,0.5000
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",POOLED,72,0.7431,0.6806,0.8056
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",SCENE_SHUFFLE,18,0.5556,0.5000,0.6389
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",MIDPOINT_DROP,18,0.9444,0.8333,1.0000
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",CLIMAX_RELOCATE,18,0.5000,0.5000,0.5000
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",POOLED,72,0.7431,0.6806,0.8056
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",SCENE_SHUFFLE,18,0.4722,0.3333,0.6111
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",MIDPOINT_DROP,18,1.0000,1.0000,1.0000
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",CLIMAX_RELOCATE,18,0.5278,0.4444,0.6389
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",POOLED,72,0.7431,0.6667,0.8125
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",SCENE_SHUFFLE,18,0.4722,0.3333,0.6111
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",MIDPOINT_DROP,18,1.0000,1.0000,1.0000
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",CLIMAX_RELOCATE,18,0.5278,0.4444,0.6389
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",POOLED,72,0.7431,0.6667,0.8125
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",SCENE_SHUFFLE,18,0.4722,0.3333,0.6111
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",MIDPOINT_DROP,18,0.9444,0.8333,1.0000
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",CLIMAX_RELOCATE,18,0.5278,0.4444,0.6389
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",POOLED,72,0.7292,0.6528,0.7986
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",SCENE_SHUFFLE,18,0.4722,0.3333,0.6111
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",MIDPOINT_DROP,18,0.9444,0.8333,1.0000
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",CLIMAX_RELOCATE,18,0.5278,0.4444,0.6389
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",DIALOGUE_FLATTEN,18,0.9722,0.9167,1.0000
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",POOLED,72,0.7292,0.6528,0.7986
