config,ruleZero,signals,degradation,pairs,auc,ciLo,ciHi
RULE_ZERO+QL+REV,true,"QL REV",SCENE_SHUFFLE,38,0.5000,0.5000,0.5000
RULE_ZERO+QL+REV,true,"QL REV",MIDPOINT_DROP,38,0.8684,0.7368,0.9737
RULE_ZERO+QL+REV,true,"QL REV",CLIMAX_RELOCATE,38,0.5000,0.5000,0.5000
RULE_ZERO+QL+REV,true,"QL REV",DIALOGUE_FLATTEN,38,0.7632,0.6842,0.8421
RULE_ZERO+QL+REV,true,"QL REV",POOLED,152,0.6579,0.6151,0.7007
RULE_ZERO+AGENCY,true,"AGENCY",SCENE_SHUFFLE,38,0.4605,0.3947,0.5263
RULE_ZERO+AGENCY,true,"AGENCY",MIDPOINT_DROP,38,0.9737,0.9211,1.0000
RULE_ZERO+AGENCY,true,"AGENCY",CLIMAX_RELOCATE,38,0.5132,0.4605,0.5658
RULE_ZERO+AGENCY,true,"AGENCY",DIALOGUE_FLATTEN,38,0.7763,0.6974,0.8553
RULE_ZERO+AGENCY,true,"AGENCY",POOLED,152,0.6809,0.6349,0.7270
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",SCENE_SHUFFLE,38,0.4605,0.3947,0.5263
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",MIDPOINT_DROP,38,0.9737,0.9211,1.0000
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",CLIMAX_RELOCATE,38,0.5132,0.4605,0.5658
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",DIALOGUE_FLATTEN,38,0.7763,0.6974,0.8553
RULE_ZERO+QL+AGENCY,true,"QL AGENCY",POOLED,152,0.6809,0.6349,0.7270
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",SCENE_SHUFFLE,38,0.4605,0.3947,0.5263
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",MIDPOINT_DROP,38,0.8421,0.7105,0.9474
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",CLIMAX_RELOCATE,38,0.5132,0.4605,0.5658
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",DIALOGUE_FLATTEN,38,0.7763,0.6974,0.8553
RULE_ZERO+REV+AGENCY,true,"REV AGENCY",POOLED,152,0.6480,0.5987,0.6941
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",SCENE_SHUFFLE,38,0.4605,0.3947,0.5263
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",MIDPOINT_DROP,38,0.8421,0.7105,0.9474
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",CLIMAX_RELOCATE,38,0.5132,0.4605,0.5658
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",DIALOGUE_FLATTEN,38,0.7763,0.6974,0.8553
RULE_ZERO+QL+REV+AGENCY,true,"QL REV AGENCY",POOLED,152,0.6480,0.5987,0.6941
RULE_ZERO+TRUTH,true,"TRUTH",SCENE_SHUFFLE,38,0.5263,0.5000,0.5658
RULE_ZERO+TRUTH,true,"TRUTH",MIDPOINT_DROP,38,1.0000,1.0000,1.0000
RULE_ZERO+TRUTH,true,"TRUTH",CLIMAX_RELOCATE,38,0.5000,0.5000,0.5000
RULE_ZERO+TRUTH,true,"TRUTH",DIALOGUE_FLATTEN,38,0.7632,0.6842,0.8421
RULE_ZERO+TRUTH,true,"TRUTH",POOLED,152,0.6974,0.6579,0.7336
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",SCENE_SHUFFLE,38,0.5263,0.5000,0.5658
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",MIDPOINT_DROP,38,1.0000,1.0000,1.0000
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",CLIMAX_RELOCATE,38,0.5000,0.5000,0.5000
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",DIALOGUE_FLATTEN,38,0.7632,0.6842,0.8421
RULE_ZERO+QL+TRUTH,true,"QL TRUTH",POOLED,152,0.6974,0.6579,0.7336
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",SCENE_SHUFFLE,38,0.5263,0.5000,0.5658
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",MIDPOINT_DROP,38,0.8684,0.7368,0.9737
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",CLIMAX_RELOCATE,38,0.5000,0.5000,0.5000
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",DIALOGUE_FLATTEN,38,0.7632,0.6842,0.8421
RULE_ZERO+REV+TRUTH,true,"REV TRUTH",POOLED,152,0.6645,0.6217,0.7039
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",SCENE_SHUFFLE,38,0.5263,0.5000,0.5658
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",MIDPOINT_DROP,38,0.8684,0.7368,0.9737
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",CLIMAX_RELOCATE,38,0.5000,0.5000,0.5000
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",DIALOGUE_FLATTEN,38,0.7632,0.6842,0.8421
RULE_ZERO+QL+REV+TRUTH,true,"QL REV TRUTH",POOLED,152,0.6645,0.6217,0.7039
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",SCENE_SHUFFLE,38,0.4737,0.4079,0.5526
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",MIDPOINT_DROP,38,0.9737,0.9211,1.0000
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",CLIMAX_RELOCATE,38,0.5132,0.4605,0.5658
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",DIALOGUE_FLATTEN,38,0.7763,0.6974,0.8553
RULE_ZERO+AGENCY+TRUTH,true,"AGENCY TRUTH",POOLED,152,0.6842,0.6382,0.7270
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",SCENE_SHUFFLE,38,0.4737,0.4079,0.5526
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",MIDPOINT_DROP,38,0.9737,0.9211,1.0000
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",CLIMAX_RELOCATE,38,0.5132,0.4605,0.5658
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",DIALOGUE_FLATTEN,38,0.7763,0.6974,0.8553
RULE_ZERO+QL+AGENCY+TRUTH,true,"QL AGENCY TRUTH",POOLED,152,0.6842,0.6382,0.7270
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",SCENE_SHUFFLE,38,0.4737,0.4079,0.5526
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",MIDPOINT_DROP,38,0.8421,0.7105,0.9474
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",CLIMAX_RELOCATE,38,0.5132,0.4605,0.5658
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",DIALOGUE_FLATTEN,38,0.7763,0.6974,0.8553
RULE_ZERO+REV+AGENCY+TRUTH,true,"REV AGENCY TRUTH",POOLED,152,0.6513,0.6020,0.7007
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",SCENE_SHUFFLE,38,0.4737,0.4079,0.5526
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",MIDPOINT_DROP,38,0.8421,0.7105,0.9474
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",CLIMAX_RELOCATE,38,0.5132,0.4605,0.5658
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",DIALOGUE_FLATTEN,38,0.7763,0.6974,0.8553
RULE_ZERO+QL+REV+AGENCY+TRUTH,true,"QL REV AGENCY TRUTH",POOLED,152,0.6513,0.6020,0.7007
