file,protagonist,legacyReversals,detectedReversals,reversalDisagree,d1Disagree,d2Disagree,qlDeduction
crawl/sci-fi/ides-of-march-pdf.fountain,STEPHEN,0,0,false,false,false,0
crawl/crime/fatal-instinct.fountain,NED,0,0,false,false,false,0.2500000000000002
mulan-1998.fountain,MULAN,0,0,false,false,false,0
crawl/sci-fi/legally-blonde-pdf.fountain,ELLE,0,0,false,false,false,0
crawl/action/traffic.fountain,ROBERT,0,0,false,false,false,0
crawl/sci-fi/tin-cup-pdf.fountain,TIN CUP,0,0,false,false,false,0
crawl/crime/pulp-fiction-html.fountain,VINCENT,0,0,false,false,false,0
crawl/action/cliffhanger.fountain,GABE,0,0,false,false,false,0
crawl/action/o-brother-where-art-thou.fountain,EVERETT,0,0,false,false,false,0
crawl/horror/blair-witch-ii.fountain,COTTER,0,0,false,false,false,0
crawl/action/feast-revised-draft.fountain,HEROINE,0,0,false,false,false,0
crawl/action/hudson-hawk.fountain,HAWK,0,0,false,false,false,0
crawl/action/the-patriot.fountain,MARTIN,0,0,false,false,false,0
crawl/horror/531.fountain,PREGNANT WOMAN,0,0,false,false,false,1.4864864864864868
crawl/horror/ed-wood.fountain,ED,0,0,false,false,false,0
luca-2021.fountain,LUCA,0,0,false,false,false,0
crawl/crime/unbreakable.fountain,DAVID,0,0,false,false,false,0
9_2009.fountain.txt,T,0,0,false,false,false,5
crawl/crime/interview-with-the-vampire.fountain,LOUIS,0,0,false,false,false,0
crawl/sci-fi/the-bourne-supremacy-pdf.fountain,BOURNE,0,0,false,false,false,0
crawl/sci-fi/lethal-weapon-4-pdf.fountain,RIGGS,0,0,false,false,false,0
crawl/adventure/ocean-s-twelve-pdf.fountain,RUSTY,0,0,false,false,false,0
crawl/crime/nurse-betty.fountain,BETTY,0,0,false,false,false,0
crawl/horror/13-ghosts-pdf.fountain,ARTHUR,0,0,false,false,false,0.4166666666666663
crawl/sci-fi/the-island-of-dr-moreau-pdf.fountain,PRENDICK,0,0,false,false,false,0
crawl/action/batman-2-unproduced.fountain,BRUCE,0,0,false,false,false,0
