"Path","Tracked","Area","Extension","Bytes","Lines","Disposition","Coverage"
"server/lib/build-info.ts","True","server",".ts","2512","48","first-party-text","inventoried"
"server/lib/collab-auth.ts","True","server",".ts","3618","69","first-party-text","inventoried"
"server/lib/coverage-html.ts","True","server",".ts","24407","674","first-party-text","inventoried"
"server/lib/embeddings.ts","True","server",".ts","3568","81","first-party-text","inventoried"
"server/lib/fdx-import.ts","True","server",".ts","8823","206","first-party-text","inventoried"
"server/lib/fountain.ts","True","server",".ts","16080","385","first-party-text","inventoried"
"server/lib/genre-router.ts","True","server",".ts","138957","1872","first-party-text","inventoried"
"server/lib/interview.ts","True","server",".ts","13808","261","first-party-text","inventoried"
"server/lib/json.ts","True","server",".ts","501","14","first-party-text","inventoried"
"server/lib/logger.ts","True","server",".ts","1215","30","first-party-text","inventoried"
"server/lib/logline.ts","True","server",".ts","20313","429","first-party-text","inventoried"
"server/lib/memory.ts","True","server",".ts","6340","152","first-party-text","inventoried"
"server/lib/metrics.ts","True","server",".ts","5223","137","first-party-text","inventoried"
"server/lib/pdf-import.ts","True","server",".ts","30694","622","first-party-text","inventoried"
"server/lib/personality.ts","True","server",".ts","9992","176","first-party-text","inventoried"
"server/lib/pitchkit-html.ts","True","server",".ts","24613","590","first-party-text","inventoried"
"server/lib/prompt-utils.ts","True","server",".ts","1260","27","first-party-text","inventoried"
"server/lib/prompts.ts","True","server",".ts","3111","72","first-party-text","inventoried"
"server/lib/session-store.ts","True","server",".ts","14892","288","first-party-text","inventoried"
"server/lib/slate.ts","True","server",".ts","9753","265","first-party-text","inventoried"
"server/lib/structure-presets.ts","True","server",".ts","89663","1486","first-party-text","inventoried"
"server/lib/subtext-meter.ts","True","server",".ts","3423","71","first-party-text","inventoried"
"server/lib/validation.ts","True","server",".ts","48551","1023","first-party-text","inventoried"
"server/nvm/__tests__/m1.5-harness.ts","True","server",".ts","3120","84","first-party-text","inventoried"
"server/nvm/analyze/anti-slop.ts","True","server",".ts","5871","155","first-party-text","inventoried"
"server/nvm/analyze/assertion-containment.test.ts","True","server",".ts","7753","166","first-party-text","inventoried"
"server/nvm/analyze/assertion-containment.ts","True","server",".ts","9650","226","first-party-text","inventoried"
"server/nvm/analyze/belief-movement.test.ts","True","server",".ts","5037","105","first-party-text","inventoried"
"server/nvm/analyze/belief-movement.ts","True","server",".ts","5946","155","first-party-text","inventoried"
"server/nvm/analyze/bonding-signal.test.ts","True","server",".ts","4193","98","first-party-text","inventoried"
"server/nvm/analyze/bonding-signal.ts","True","server",".ts","6157","163","first-party-text","inventoried"
"server/nvm/analyze/calibration/corpus.ts","True","server",".ts","55075","1893","first-party-text","inventoried"
"server/nvm/analyze/calibration/discrimination-pairs.ts","True","server",".ts","46220","1280","first-party-text","inventoried"
"server/nvm/analyze/calibration/percentile.ts","True","server",".ts","4563","91","first-party-text","inventoried"
"server/nvm/analyze/calibration/reference.ts","True","server",".ts","20021","334","first-party-text","inventoried"
"server/nvm/analyze/causality-enforcer.test.ts","True","server",".ts","6093","166","first-party-text","inventoried"
"server/nvm/analyze/causality-enforcer.ts","True","server",".ts","5492","140","first-party-text","inventoried"
"server/nvm/analyze/cluster.ts","True","server",".ts","54653","974","first-party-text","inventoried"
"server/nvm/analyze/cold-open-promise.test.ts","True","server",".ts","5201","148","first-party-text","inventoried"
"server/nvm/analyze/cold-open-promise.ts","True","server",".ts","7359","161","first-party-text","inventoried"
"server/nvm/analyze/custody-ledger.ts","True","server",".ts","4595","124","first-party-text","inventoried"
"server/nvm/analyze/data/emotional-arc-lexicon.json","True","server",".json","271561","1","first-party-text","inventoried"
"server/nvm/analyze/deep-read.ts","True","server",".ts","25472","466","first-party-text","inventoried"
"server/nvm/analyze/dialogue-info-ratio.ts","True","server",".ts","6739","198","first-party-text","inventoried"
"server/nvm/analyze/disclosure-ledger.test.ts","True","server",".ts","10072","229","first-party-text","inventoried"
"server/nvm/analyze/disclosure-ledger.ts","True","server",".ts","6917","156","first-party-text","inventoried"
"server/nvm/analyze/doctor.ts","True","server",".ts","115191","2040","first-party-text","inventoried"
"server/nvm/analyze/emotional-arc.ts","True","server",".ts","6027","114","first-party-text","inventoried"
"server/nvm/analyze/epistemic-ledger.ts","True","server",".ts","3228","67","first-party-text","inventoried"
"server/nvm/analyze/excellence-signals.ts","True","server",".ts","9783","295","first-party-text","inventoried"
"server/nvm/analyze/fix.ts","True","server",".ts","19703","378","first-party-text","inventoried"
"server/nvm/analyze/fountain-analyzer.ts","True","server",".ts","111765","1980","first-party-text","inventoried"
"server/nvm/analyze/genre-obligation.test.ts","True","server",".ts","6403","154","first-party-text","inventoried"
"server/nvm/analyze/genre-obligation.ts","True","server",".ts","7545","139","first-party-text","inventoried"
"server/nvm/analyze/inflection-tension.ts","True","server",".ts","3375","100","first-party-text","inventoried"
"server/nvm/analyze/integrity-rate.test.ts","True","server",".ts","5549","140","first-party-text","inventoried"
"server/nvm/analyze/integrity-rate.ts","True","server",".ts","12078","274","first-party-text","inventoried"
"server/nvm/analyze/interiority.ts","True","server",".ts","6489","193","first-party-text","inventoried"
"server/nvm/analyze/locate.ts","True","server",".ts","10194","199","first-party-text","inventoried"
"server/nvm/analyze/metrics.ts","True","server",".ts","50823","969","first-party-text","inventoried"
"server/nvm/analyze/mirror-scene.test.ts","True","server",".ts","6551","190","first-party-text","inventoried"
"server/nvm/analyze/mirror-scene.ts","True","server",".ts","5713","154","first-party-text","inventoried"
"server/nvm/analyze/mystery-fairness.test.ts","True","server",".ts","5103","126","first-party-text","inventoried"
"server/nvm/analyze/mystery-fairness.ts","True","server",".ts","6030","144","first-party-text","inventoried"
"server/nvm/analyze/NarrativeState.test.ts","True","server",".ts","7319","237","first-party-text","inventoried"
"server/nvm/analyze/NarrativeState.ts","True","server",".ts","7105","230","first-party-text","inventoried"
"server/nvm/analyze/pattern-establishment.test.ts","True","server",".ts","5514","138","first-party-text","inventoried"
"server/nvm/analyze/pattern-establishment.ts","True","server",".ts","9234","217","first-party-text","inventoried"
"server/nvm/analyze/scene-economy.test.ts","True","server",".ts","7776","171","first-party-text","inventoried"
"server/nvm/analyze/scene-economy.ts","True","server",".ts","7260","182","first-party-text","inventoried"
"server/nvm/analyze/scene-value-shift.test.ts","True","server",".ts","5350","148","first-party-text","inventoried"
"server/nvm/analyze/scene-value-shift.ts","True","server",".ts","7902","196","first-party-text","inventoried"
"server/nvm/analyze/screenplay-normalizer.test.ts","True","server",".ts","3988","80","first-party-text","inventoried"
"server/nvm/analyze/screenplay-normalizer.ts","True","server",".ts","7059","147","first-party-text","inventoried"
"server/nvm/analyze/silence-signal.test.ts","True","server",".ts","6591","157","first-party-text","inventoried"
"server/nvm/analyze/silence-signal.ts","True","server",".ts","6521","173","first-party-text","inventoried"
"server/nvm/analyze/story-spine.test.ts","True","server",".ts","4482","102","first-party-text","inventoried"
"server/nvm/analyze/story-spine.ts","True","server",".ts","6608","175","first-party-text","inventoried"
"server/nvm/analyze/temporal.ts","True","server",".ts","5036","151","first-party-text","inventoried"
"server/nvm/analyze/theme-extract.ts","True","server",".ts","6358","173","first-party-text","inventoried"
"server/nvm/analyze/truth-ledger.test.ts","True","server",".ts","10828","266","first-party-text","inventoried"
"server/nvm/analyze/truth-ledger.ts","True","server",".ts","10148","279","first-party-text","inventoried"
"server/nvm/analyze/typed-promises.test.ts","True","server",".ts","4960","105","first-party-text","inventoried"
"server/nvm/analyze/typed-promises.ts","True","server",".ts","7618","190","first-party-text","inventoried"
"server/nvm/analyze/types.ts","True","server",".ts","19043","357","first-party-text","inventoried"
"server/nvm/analyze/voice-delta.ts","True","server",".ts","6175","182","first-party-text","inventoried"
"server/nvm/analyze/well-made-surprise.test.ts","True","server",".ts","4951","117","first-party-text","inventoried"
"server/nvm/analyze/well-made-surprise.ts","True","server",".ts","5231","141","first-party-text","inventoried"
"server/nvm/author/backchain.ts","True","server",".ts","9080","230","first-party-text","inventoried"
"server/nvm/author/fixed-points.ts","True","server",".ts","13005","314","first-party-text","inventoried"
"server/nvm/bible/index.ts","True","server",".ts","7370","165","first-party-text","inventoried"
"server/nvm/branch/field.ts","True","server",".ts","8562","208","first-party-text","inventoried"
"server/nvm/branch/score.ts","True","server",".ts","12133","261","first-party-text","inventoried"
"server/nvm/bridge/action-to-ops.ts","True","server",".ts","27216","618","first-party-text","inventoried"
"server/nvm/converge/loop.ts","True","server",".ts","24164","516","first-party-text","inventoried"
"server/nvm/converge/operators.ts","True","server",".ts","20302","395","first-party-text","inventoried"
"server/nvm/debug/inspector.ts","True","server",".ts","3132","92","first-party-text","inventoried"
"server/nvm/drama/conflict-orchestrator.ts","True","server",".ts","9883","249","first-party-text","inventoried"
"server/nvm/drama/intention-registry.ts","True","server",".ts","4365","105","first-party-text","inventoried"
"server/nvm/generate/llm-generator.ts","True","server",".ts","14980","287","first-party-text","inventoried"
"server/nvm/generate/proof-spec.ts","True","server",".ts","16129","330","first-party-text","inventoried"
"server/nvm/generate/quality-spec.ts","True","server",".ts","12307","179","first-party-text","inventoried"
"server/nvm/ir/NarrativeTransitionIR.ts","True","server",".ts","1728","37","first-party-text","inventoried"
"server/nvm/live/loop.ts","True","server",".ts","4913","127","first-party-text","inventoried"
"server/nvm/live/move-bus.ts","True","server",".ts","12967","354","first-party-text","inventoried"
"server/nvm/mechanisms/clue_cascade.mech.json","True","server",".json","1434","21","first-party-text","inventoried"
"server/nvm/mechanisms/false_purpose.mech.json","True","server",".json","1504","22","first-party-text","inventoried"
